code,n,k,d,n_ecc,max_runs,target_fail_count,channel,sim_start,xyz_error_bias,seed,bp_method,ms_scaling_factor,max_iter,osd_method,osd_order,output_file,check_code,sim_path,sim_end,sim_duration,p_physical,n_success,n_fail,sim_type,n_errorsamples,target_runs,error_parameter,min_weight_logical,weight,sim_file
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.001,99998.0,2.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.0014678,100000.0,0.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.00215443,99997.0,3.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.00316228,99998.0,2.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.00464159,99991.0,9.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.00681292,99963.0,37.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.01,99870.0,130.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.014678,99426.0,574.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.0215443,30383.0,1000.0,max_iter,,,,,,
lts,205,5,5,5,100000.0,1000.0,ph_x,2023-08-21T19:05:08.422340,"[1, 0, 0]",10,product_sum,1,13,osd_cs,25,,False,./sim/ph_x_logsweep/lts_205_5_5_230821_190508_38419775,2023-08-21T20:46:30.533419,1:41:22.111079,0.0316228,4905.0,1000.0,max_iter,,,,,,
surface,41,1,5,5,1000000.0,1000.0,ph_x,2023-08-21T19:06:20.797304,"[1, 0, 0]",423,product_sum,1,13,osd_cs,5,,False,./sim/ph_x_logsweep/surface_41_1_5_230821_190620_38419787,2023-08-21T20:22:40.967912,1:16:20.170608,0.001,999983.0,17.0,max_iter,,,,,,
surface,41,1,5,5,1000000.0,1000.0,ph_x,2023-08-21T19:06:20.797304,"[1, 0, 0]",423,product_sum,1,13,osd_cs,5,,False,./sim/ph_x_logsweep/surface_41_1_5_230821_190620_38419787,2023-08-21T20:22:40.967912,1:16:20.170608,0.0014678,999951.0,49.0,max_iter,,,,,,
surface,41,1,5,5,1000000.0,1000.0,ph_x,2023-08-21T19:06:20.797304,"[1, 0, 0]",423,product_sum,1,13,osd_cs,5,,False,./sim/ph_x_logsweep/surface_41_1_5_230821_190620_38419787,2023-08-21T20:22:40.967912,1:16:20.170608,0.00215443,999881.0,119.0,max_iter,,,,,,
surface,41,1,5,5,1000000.0,1000.0,ph_x,2023-08-21T19:06:20.797304,"[1, 0, 0]",423,product_sum,1,13,osd_cs,5,,False,./sim/ph_x_logsweep/surface_41_1_5_230821_190620_38419787,2023-08-21T20:22:40.967912,1:16:20.170608,0.00316228,999715.0,285.0,max_iter,,,,,,
surface,41,1,5,5,1000000.0,1000.0,ph_x,2023-08-21T19:06:20.797304,"[1, 0, 0]",423,product_sum,1,13,osd_cs,5,,False,./sim/ph_x_logsweep/surface_41_1_5_230821_190620_38419787,2023-08-21T20:22:40.967912,1:16:20.170608,0.00464159,999176.0,824.0,max_iter,,,,,,
