,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
0,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,7.574964313000001e-06
1,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,7.59255965e-06
2,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,7.781638689e-06
3,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,1,8.329608598e-06
4,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,17,9.331250518e-06
5,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00154618021677
6,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00489052337419
7,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01187006213384
8,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,1,0.036018967496
9,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,5,0.09301886598105
10,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00139392335333
11,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00471908021382
12,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01358960966715
13,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,0,0.03672963626046
14,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,1e-05,1000,0,0.002114087583
15,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,3e-05,1000,0,0.004380206343
16,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,8e-05,1000,0,0.010587710691
17,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00022,1000,0,0.030849400133
18,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.0006,1000,0,0.083226279987
19,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00167,1000,2,0.168745770701
20,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00464,1000,53,0.267282935164
21,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.01292,1000,701,0.311128988977
22,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.03594,1000,959,0.284050142431
23,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.1,1000,971,0.324340636009
24,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.003,10000,131,0.0211963274933
25,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00333,10000,144,0.0227081712032
26,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00367,10000,193,0.0235549790643
27,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.004,10000,223,0.0250431452232
28,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00433,10000,299,0.026571308023
29,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00467,10000,373,0.0269840169957
30,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.005,10000,439,0.0278205291289
31,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,8.709996856e-06
32,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,8.539812948999999e-06
33,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,8e-05,1000000,7,8.938629555e-06
34,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.00022,1000000,42,8.907014206e-06
35,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.0006,1000000,292,9.660000113e-06
36,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,4,0.32994007139
37,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,14,0.33767527074
